episode,step,action,selected_q_value,q_value_0,q_value_1,q_value_2,q_value_3,q_value_4,reward,speed,on_road,crashed,terminated,truncated,obs_0,obs_1,obs_2,obs_3,obs_4
0,0,1,0.6282,0.5780,0.6282,0.5382,0.6086,0.4783,-1.0000,20.7789,False,False,False,False,"[ 1.          0.03171712 -1.         -0.66716105 -0.03925374 -0.9982736
 -0.05873541]","[ 1.         -0.2819211   0.70781904  0.36987802  0.21107695 -0.8657898
  0.50040793]","[ 1.          0.35020328  1.          0.4364885  -0.23374873 -0.6454047
 -0.7638408 ]","[ 1.         -0.4575768   1.          0.2758261   0.5411785  -0.61486924
  0.78862906]","[ 1.          0.43641746  1.          0.5351647  -0.3125536  -0.35128346
 -0.93626916]"
0,1,1,0.2863,0.1624,0.2863,0.1266,0.1567,-0.0806,-1.0000,21.2912,False,False,False,False,"[ 1.         -0.00795071 -1.         -0.67846084  0.13938084 -0.97954315
  0.20123424]","[ 1.         -0.25968817  0.7230544   0.38555732  0.03980596 -0.8530353
  0.52185327]","[ 1.          0.37541726  1.          0.4407483  -0.40627578 -0.66510224
 -0.7467523 ]","[ 1.         -0.43159467  1.          0.436232    0.4491739  -0.38059235
  0.92474294]","[ 1.          0.46735555  1.          0.5368239  -0.48741883 -0.3769401
 -0.92623764]"
0,2,1,0.2751,0.1426,0.2751,0.1091,0.1262,-0.1206,-1.0000,21.6510,False,False,False,False,"[ 1.         -0.04831706 -1.         -0.6836597   0.1905089  -0.9632983
  0.26843312]","[ 1.         -0.23633203  0.7250323   0.39677984 -0.00182838 -0.83549225
  0.54950225]","[ 1.          0.4007209   1.          0.43691322 -0.44907486 -0.6903784
 -0.72344846]","[ 1.         -0.40313843  1.          0.4813186   0.4129226  -0.3179203
  0.94811743]","[ 1.          0.49814418  1.          0.5294085  -0.53314286 -0.41051048
 -0.9118559 ]"
0,3,1,0.3051,0.1613,0.3051,0.1357,0.1471,-0.0945,-1.0000,21.9037,False,False,False,False,"[ 1.         -0.08927032 -1.         -0.6895513   0.2130056  -0.95545286
  0.2951438 ]","[ 1.         -0.2119371   0.7229126   0.40963387 -0.01414227 -0.8152153
  0.579158  ]","[ 1.          0.42601934  0.92015195  0.43322933 -0.4620823  -0.71717
 -0.6968983 ]","[ 1.         -0.37362373  1.          0.49847534  0.39408705 -0.3002204
  0.9538699 ]","[ 1.          0.5286742   1.          0.5216972  -0.5491848  -0.44671208
 -0.89467776]"
0,4,1,-0.5468,-0.7790,-0.5468,-0.9130,-0.7609,-1.1694,-1.0000,22.0812,False,False,False,False,"[ 1.         -0.13042948 -1.         -0.6901956   0.2381431  -0.9453119
  0.3261677 ]","[ 1.         -0.18685092  0.7153541   0.41795385 -0.02889488 -0.7928611
  0.60940236]","[ 1.         -0.3432428   1.          0.511186    0.37261632 -0.28126168
  0.9596311 ]","[ 1.          0.45094514  0.7332844   0.4242527  -0.47692025 -0.7440887
 -0.66808087]","[ 1.         -0.36876366  1.          0.64310426  0.3484627  -0.08002031
  0.9967932 ]"
0,5,1,0.0128,-0.3401,0.0128,-0.3343,-0.2597,-0.6392,-1.0000,22.2059,False,False,False,False,"[ 1.         -0.17132354 -1.         -0.6836162   0.27280983 -0.92877465
  0.3706449 ]","[ 1.         -0.16151123  0.69841313  0.41966903 -0.05319133 -0.7687044
  0.63960415]","[ 1.         -0.31193167  1.          0.5247736   0.34350222 -0.24957499
  0.9683555 ]","[ 1.          0.47504452  0.5374124   0.40822497 -0.5006252  -0.7705244
 -0.6374105 ]","[ 1.          0.5873581   1.          0.48792332 -0.5935835  -0.52079976
 -0.8536789 ]"
0,6,1,0.0769,-0.2652,0.0769,-0.2693,-0.2081,-0.5751,-1.0000,22.2934,False,False,False,False,"[ 1.         -0.21147035 -1.         -0.6694163   0.31586725 -0.9043769
  0.42673454]","[ 1.         -0.13636851  0.66854095  0.41432726 -0.08601951 -0.7429065
  0.6693952 ]","[ 1.         -0.27966204  1.          0.53899467  0.30707875 -0.20491973
  0.9787788 ]","[ 1.          0.49785691  0.3292832   0.38487345 -0.5321438  -0.79612994
 -0.6051257 ]","[ 1.          0.61457956  1.          0.45994088 -0.6278152  -0.55747944
 -0.8301908 ]"
0,7,1,0.1006,-0.2328,0.1006,-0.2464,-0.1786,-0.5807,-1.0000,22.3549,False,False,False,False,"[ 1.         -0.25040296 -1.         -0.6477363   0.36422074 -0.8716508
  0.49012738]","[ 1.         -0.11186004  0.6233891   0.40202722 -0.12437195 -0.71558887
  0.6985217 ]","[ 1.         -0.24650204  1.          0.5523236   0.2650391  -0.14991333
  0.98869914]","[ 1.          0.5189407   0.106851    0.35442197 -0.5684433  -0.82067186
 -0.57139975]","[ 1.          0.6397823   0.8307539   0.4247317  -0.66664493 -0.5934848
 -0.8048452 ]"
0,8,1,0.0925,-0.2389,0.0925,-0.2569,-0.1771,-0.6386,-1.0000,22.3981,False,False,False,False,"[ 1.         -0.28768292 -1.         -0.6189869   0.41487908 -0.830672
  0.5567621 ]","[ 1.         -0.08839641  0.5617996   0.38314402 -0.16532242 -0.68685514
  0.72679436]","[ 1.         -0.2126041   1.          0.56335306  0.219137   -0.08741241
  0.9961722 ]","[ 1.          0.53788567 -0.13073637  0.31734222 -0.60658365 -0.84397966
 -0.5363752 ]","[ 1.          0.66255003  0.5522839   0.38278717 -0.7071138  -0.6286012
 -0.7777278 ]"
0,9,3,1.2919,1.1706,1.2023,1.1476,1.2919,0.6834,-1.0000,24.6609,False,False,False,False,"[ 1.         -0.32290807 -1.         -0.5837307   0.46548396 -0.7818483
  0.6234687 ]","[ 1.         -0.06635363  0.48356423  0.35820833 -0.20656303 -0.6567983
  0.75406635]","[ 1.          0.55432034 -0.38338026  0.27424312 -0.6442508  -0.8659235
 -0.5001764 ]","[ 1.          0.68250626  0.25794128  0.33473337 -0.7468943  -0.66265965
 -0.7489207 ]","[ 1.          0.81028336  1.          0.48946646 -0.98519796 -0.17846538
 -0.9839462 ]"
0,10,3,1.4821,1.3100,1.3203,1.2841,1.4821,0.7186,-1.0000,26.2502,False,True,True,False,"[ 1.         -0.3568942  -1.         -0.5957846   0.56637144 -0.72477096
  0.6889899 ]","[ 1.         -0.04489153  0.38190624  0.38100764 -0.29846987 -0.6255039
  0.78022105]","[ 1.          0.56909287 -0.6575522   0.27897766 -0.7318209  -0.8864025
 -0.46291536]","[ 1.          0.700495   -0.05865275  0.33443886 -0.8363527  -0.69552255
 -0.7185043 ]","[ 1.          0.83641124  1.          0.4687728  -1.         -0.2404645
 -0.97065794]"
